,stm_bus_stop_cancelled_moved_relocated_id,stm_bus_stop_id,stm_bus_stop_code,stm_bus_stop_cancelled_moved_relocated_date,stm_bus_stop_cancelled_moved_relocated_reason
56,57,60249,60249,2024-08-29,"This stop is cancelled due to a situation beyond our control, from August 29 2024 at 05h40 for an indefinite period."
57,58,60681,60681,2023-12-11,"This stop is cancelled due to road conditions, from December 11 2023 at 15h32 for an indefinite period."
58,59,53032,53032,2024-06-18,"This stop is cancelled due to roadworks, from June 18 2024 at 19h42 until the end of the roadworks."
59,60,52149,52149,2023-09-07,"This stop is cancelled due to roadworks, from September 7 2023 at 07h41 until the end of the roadworks."
60,61,56190,56190,2024-11-14,"This stop is cancelled due to roadworks, from November 14 2024 at 20h17 until the end of the roadworks."
61,62,50300,50300,2024-11-21,"This stop is cancelled due to roadworks, from November 21 2024 at 13h21 until the end of the roadworks."
62,63,50297,50297,2024-09-18,"This stop is cancelled due to roadworks, from September 18 2024 at 14h14 until the end of the roadworks."
63,64,50270,50270,2024-09-09,"This stop is cancelled due to roadworks, from September 9 2024 at 14h47 until the end of the roadworks."
64,65,50303,50303,2024-08-14,"This stop is cancelled due to roadworks, from August 14 2024 at 10h20 until the end of the roadworks."
65,66,50301,50301,2024-08-08,"This stop is cancelled due to roadworks, from August 8 2024 at 07h49 until the end of the roadworks."
66,67,51626,51626,2024-10-09,"This stop is cancelled due to roadworks, from October 9 2024 at 06h43 until the end of the roadworks."
67,68,50692,50692,2022-09-02,"This stop is cancelled due to a situation beyond our control, from September 2 2022 at 22h25 for an indefinite period."
68,69,51627,51627,2024-10-09,"This stop is cancelled due to roadworks, from October 9 2024 at 06h43 until the end of the roadworks."
69,70,51626,51626,2024-10-09,"This stop is cancelled due to roadworks, from October 9 2024 at 06h43 until the end of the roadworks."
70,71,51627,51627,2024-10-09,"This stop is cancelled due to roadworks, from October 9 2024 at 06h43 until the end of the roadworks."
71,72,50300,50300,2024-11-21,"This stop is cancelled due to roadworks, from November 21 2024 at 13h21 until the end of the roadworks."
72,73,50297,50297,2024-09-18,"This stop is cancelled due to roadworks, from September 18 2024 at 14h14 until the end of the roadworks."
73,74,50303,50303,2024-08-14,"This stop is cancelled due to roadworks, from August 14 2024 at 10h20 until the end of the roadworks."
74,75,55594,55594,2024-09-25,"This stop is cancelled due to roadworks, from September 25 2024 at 11h29 until the end of the roadworks."
75,76,50301,50301,2024-08-08,"This stop is cancelled due to roadworks, from August 8 2024 at 07h49 until the end of the roadworks."
76,77,55594,55594,2024-09-25,"This stop is cancelled due to roadworks, from September 25 2024 at 11h29 until the end of the roadworks."
77,78,55897,55897,2024-09-25,"This stop is cancelled due to a situation beyond our control, from September 25 2024 at 05h26 for an indefinite period."
78,79,50204,50204,2024-09-23,"This stop is cancelled due to roadworks, from September 23 2024 at 11h44 until the end of the roadworks."
79,80,53207,53207,2024-11-18,"This stop is cancelled due to a situation beyond our control, from November 18 2024 at 06h00 until December 31 2024 at 09h00."
80,81,54316,54316,2024-11-12,"This stop is cancelled due to roadworks, from November 12 2024 at 07h18 until the end of the roadworks."
81,82,53651,53651,2024-11-12,"This stop is cancelled due to roadworks, from November 12 2024 at 06h52 until the end of the roadworks."
82,83,54455,54455,2024-11-16,"This stop is cancelled due to roadworks, from November 16 2024 at 13h06 until the end of the roadworks."
83,84,51039,51039,2024-11-25,"This stop is cancelled due to roadworks, from November 25 2024 at 09h54 until the end of the roadworks."
84,85,52165,52165,2024-10-29,"This stop is cancelled due to roadworks, from October 29 2024 at 06h13 until the end of the roadworks."
85,86,52108,52108,2024-10-17,"This stop is cancelled due to roadworks, from October 17 2024 at 06h44 until the end of the roadworks."
86,87,55468,55468,2024-10-08,"This stop is cancelled due to roadworks, from October 8 2024 at 16h57 until the end of the roadworks."
87,88,57984,57984,2023-11-20,"This stop is cancelled due to roadworks, from November 20 2023 at 18h07 until the end of the roadworks."
88,89,55496,55496,2024-08-13,"This stop is cancelled due to roadworks, from August 13 2024 at 21h05 until the end of the roadworks."
89,90,53032,53032,2024-06-18,"This stop is cancelled due to roadworks, from June 18 2024 at 19h42 until the end of the roadworks."
90,91,52149,52149,2023-09-07,"This stop is cancelled due to roadworks, from September 7 2023 at 07h41 until the end of the roadworks."
91,92,53032,53032,2024-06-18,"This stop is cancelled due to roadworks, from June 18 2024 at 19h42 until the end of the roadworks."
92,93,52149,52149,2023-09-07,"This stop is cancelled due to roadworks, from September 7 2023 at 07h41 until the end of the roadworks."
93,94,61143,61143,2023-04-15,"This stop is cancelled due to roadworks, from April 15 2023 at 03h08 until the end of the roadworks."
94,95,50879,50879,2024-11-23,"This stop is cancelled due to a situation beyond our control, from November 23 2024 at 07h27 for an indefinite period."
95,96,51359,51359,2024-11-18,"This stop is cancelled due to roadworks, from November 18 2024 at 10h25 until the end of the roadworks."
96,97,52192,52192,2024-11-26,"This stop is cancelled due to roadworks, from November 26 2024 at 08h31 until the end of the roadworks."
97,98,52149,52149,2023-09-07,"This stop is cancelled due to roadworks, from September 7 2023 at 07h41 until the end of the roadworks."
98,99,60681,60681,2023-12-11,"This stop is cancelled due to road conditions, from December 11 2023 at 15h32 for an indefinite period."
99,100,61968,61968,2023-11-13,"This stop is cancelled due to roadworks, from November 13 2023 at 06h29 until the end of the roadworks."
100,101,54455,54455,2024-11-16,"This stop is cancelled due to roadworks, from November 16 2024 at 13h06 until the end of the roadworks."
101,102,53297,53297,2024-08-05,"This stop is cancelled due to roadworks, from August 5 2024 at 10h50 until the end of the roadworks."
