,stm_bus_stop_id,stm_bus_stop_name,stm_bus_stop_code,stm_bus_stop_location_type,stm_bus_stop_latitude,stm_bus_stop_longitude,stm_bus_stop_is_wheelchair_accessible,stm_bus_stop_is_active
1079,50629,Plamondon / Décarie,50629,Stop,45.491345,-73.645181,True,True
1080,50630,Plamondon / Décarie,50630,Stop,45.490595,-73.645485,True,True
1081,50631,Plamondon / Trans Island,50631,Stop,45.491493,-73.644847,True,True
1082,50632,de l'Acadie / de Liège,50632,Stop,45.529512,-73.643837,True,True
1083,50633,de l'Acadie / de Liège,50633,Stop,45.5294,-73.644228,True,True
1084,50634,Sauvé / de Lille,50634,Stop,45.571671,-73.642753,True,True
1085,50635,de Lille / Sauvé,50635,Stop,45.57158,-73.642328,True,True
1086,50636,Cavendish / Chester,50636,Stop,45.470733,-73.645347,True,True
1087,50637,Chester / Cavendish,50637,Stop,45.470848,-73.645505,True,True
1088,50638,Cavendish / Chester,50638,Stop,45.470704,-73.645719,True,True
1089,50640,Christophe-Colomb / Chabanel,50640,Stop,45.556937,-73.643353,True,True
1090,50641,Van Horne / Macdonald,50641,Stop,45.486373,-73.64512,True,True
1091,50642,Macdonald / Fleet,50642,Stop,45.486306,-73.645312,True,True
1092,50643,Fleet / Macdonald,50643,Stop,45.486138,-73.645128,False,True
1093,50644,Collège Ahuntsic (St-Hubert / Legendre),50644,Stop,45.551515,-73.643188,True,True
1094,50645,Saint-Hubert / Legendre,50645,Stop,45.551442,-73.643557,True,True
1095,50646,Papineau / de Louvain,50646,Stop,45.563553,-73.642225,True,True
1096,50647,Papineau / de Louvain,50647,Stop,45.563175,-73.641951,True,True
1097,50648,West Broadway / Somerled,50648,Stop,45.45856,-73.645283,True,True
1098,50649,Somerled / West Broadway,50649,Stop,45.458733,-73.645466,False,True
1099,50650,West Broadway / Somerled,50650,Stop,45.45857,-73.645685,True,True
1100,50651,Somerled / O'Bryan,50651,Stop,45.458891,-73.645176,True,True
