,stm_metro_stop_id,stm_metro_stop_name,stm_metro_stop_code,stm_metro_stop_location_type,stm_metro_stop_latitude,stm_metro_stop_longitude,stm_metro_stop_is_wheelchair_accessible
151,04-01,Station Jarry,10274,Station entrance,45.543421,-73.628529,False
152,STATION_M276,STATION CRÉMAZIE,10276,Station,45.546082,-73.639052,False
153,03-01,Station Crémazie - Édicule Crémazie Sud (B),10276,Station entrance,45.545715,-73.638037,False
154,03-02,Station Crémazie - Terminus Crémazie (A),10276,Station entrance,45.546186,-73.639303,False
155,03-03,Station Crémazie - Édicule Crémazie Nord (A),10276,Station entrance,45.545968,-73.638776,False
156,STATION_M278,STATION SAUVÉ,10278,Station,45.550757,-73.656017,False
157,02-01,Station Sauvé - Édicule Nord (B),10278,Station entrance,45.550713,-73.656464,False
158,02-02,Station Sauvé - Édicule Sud (A),10278,Station entrance,45.55064,-73.655907,False
159,STATION_M280,STATION HENRI-BOURASSA,10280,Station,45.555277,-73.668172,True
160,01-01,Station Henri-Bourassa - Édicule rue Berri (A),10280,Station entrance,45.554247,-73.668486,False
161,01-03,Station Henri-Bourassa - Édicule Nord (D),10280,Station entrance,45.555607,-73.668225,False
162,01-04,Station Henri-Bourassa - Édicule Sud (B),10280,Station entrance,45.556122,-73.667407,True
163,01-05,Station Henri-Bourassa - Henri-Bourassa (C),10280,Station entrance,45.555733,-73.667284,False
164,STATION_M282,STATION CARTIER,10282,Station,45.559997,-73.68231,True
165,66-01,Station Cartier - Terminus Cartier (A),10282,Station entrance,45.560398,-73.681899,True
166,66-02,Station Cartier - Édicule boul. Cartier (B),10282,Station entrance,45.561402,-73.681416,False
167,STATION_M286,STATION DE LA CONCORDE,10286,Station,45.560698,-73.709389,True
168,67-01,Station De la Concorde,10286,Station entrance,45.560504,-73.709596,True
169,STATION_M288,STATION MONTMORENCY,10288,Station,45.558436,-73.722459,True
170,68-01,Station Montmorency,10288,Station entrance,45.558387,-73.721622,True
171,STATION_M452,STATION JEAN-DRAPEAU,10452,Station,45.512429,-73.533127,False
172,45-01,Station Jean-Drapeau,10452,Station entrance,45.512289,-73.533371,False
173,STATION_M454,STATION LONGUEUIL- U. de SHERBROOKE,10454,Station,45.52489,-73.522098,False
174,44-01,Station Longueuil–U.-de-Sherbrooke - Édicule Longueuil-U-de-S,10454,Station entrance,45.525191,-73.521961,False
175,44-02,Station Longueuil–U.-de-Sherbrooke - Édicule Terminus Longueuil,10454,Station entrance,45.524631,-73.521989,False
176,44-03,Station Longueuil–U.-de-Sherbrooke - Édicule De Sérigny,10454,Station entrance,45.524711,-73.522632,False
177,STATION_M534,STATION CÔTE-DES-NEIGES,10534,Station,45.496846,-73.623386,False
178,55-01,Station Côte-des-Neiges - Édicule Ouest (A),10534,Station entrance,45.496306,-73.622534,False
179,55-02,Station Côte-des-Neiges - Édicule Est (B),10534,Station entrance,45.49676,-73.622937,False
180,STATION_M536,STATION UNIVERSITÉ DE MONTREAL,10536,Station,45.503188,-73.617699,False
181,56-01,Station Université-de-Montréal - Édicule Louis-Colin (B),10536,Station entrance,45.502757,-73.618298,False
182,56-02,Station Université-de-Montréal - Édicule Édouard-Montpetit (A),10536,Station entrance,45.503382,-73.617767,False
183,56-03,Station Université-de-Montréal (C),10536,Station entrance,45.503582,-73.617256,False
184,STATION_M538,STATION ÉDOUARD-MONTPETIT,10538,Station,45.50992,-73.612858,False
185,57-02,Station Édouard-Montpetit - Édicule Vincent-D'Indy (B),10538,Station entrance,45.510155,-73.612554,False
186,57-03,Station Édouard-Montpetit - Édicule boul. Édouard-Montpetit (A),10538,Station entrance,45.50964,-73.612785,False
187,STATION_M540,STATION OUTREMONT,10540,Station,45.52037,-73.614976,False
188,58-01,Station Outremont,10540,Station entrance,45.520103,-73.615099,False
189,STATION_M542,STATION ACADIE,10542,Station,45.523458,-73.623257,False
190,59-01,Station Acadie - Édicule Beaumont (A),10542,Station entrance,45.523679,-73.623194,False
191,59-02,Station Acadie (B),10542,Station entrance,45.523391,-73.623494,False
192,STATION_M544,STATION  DU PARC,10544,Station,45.530177,-73.624559,False
193,60-01,Station Parc,10544,Station entrance,45.530223,-73.623932,False
194,STATION_M546,STATION DE CASTELNAU,10546,Station,45.535437,-73.619873,False
195,61-01,Station De Castelnau - Édicule St-Laurent Est (B),10546,Station entrance,45.53561,-73.619912,False
196,61-02,Station De Castelnau - Édicule St-Laurent Ouest (A),10546,Station entrance,45.535217,-73.62,False
197,STATION_M552,STATION FABRE,10552,Station,45.546753,-73.608106,False
198,62-01,Station Fabre - Édicule Papineau (A),10552,Station entrance,45.547864,-73.607356,False
199,62-02,Station Fabre (B),10552,Station entrance,45.546469,-73.608221,False
200,STATION_M554,STATION IBERVILLE,10554,Station,45.553618,-73.601988,False
201,63-01,Station D'Iberville - Édicule Iberville (A),10554,Station entrance,45.55377,-73.602081,False
202,63-02,Station D'Iberville - Édicule Louis-Hébert (B),10554,Station entrance,45.552635,-73.602713,False
203,STATION_M556,STATION SAINT-MICHEL,10556,Station,45.55956,-73.600002,False
204,64-01,Station Saint-Michel - Édicule Est (A),10556,Station entrance,45.559694,-73.599833,False
205,64-02,Station Saint-Michel - Édicule Ouest (B),10556,Station entrance,45.559284,-73.599876,False
